row_number,id,time,variable,value,deviation
747231,AS14.12,2014-03-30 18:49:44.914,appCat.builtin,34.192,7.384268490930487
747681,AS14.12,2014-03-31 02:16:32.494,appCat.builtin,23.116,6.948723854272987
747721,AS14.12,2014-03-31 02:17:49.062,appCat.builtin,26.114,3.0505604615453716
747841,AS14.12,2014-03-31 02:25:11.381,appCat.builtin,268.281,23.18278423459367
748291,AS14.12,2014-03-31 12:55:57.187,appCat.builtin,28.787,12.116299931757382
748881,AS14.12,2014-03-31 20:19:20.303,appCat.builtin,21.898,4.0654551729422925
749521,AS14.12,2014-04-01 00:59:56.167,appCat.builtin,20.028,3.2681201880392816
749551,AS14.12,2014-04-01 01:03:24.829,appCat.builtin,43.153,6.015231754746789
749711,AS14.12,2014-04-01 11:56:16.542,appCat.builtin,36.152,7.277678176466975
749991,AS14.12,2014-04-01 13:02:33.312,appCat.builtin,50.228,12.394152731305574
750471,AS14.12,2014-04-01 15:58:58.710,appCat.builtin,24.134,20.137816863769974
751251,AS14.12,2014-04-01 17:15:24.377,appCat.builtin,29.523,7.995727886599628
751261,AS14.12,2014-04-01 17:15:58.171,appCat.builtin,47.308,4.652901387254962
751271,AS14.12,2014-04-01 17:16:45.482,appCat.builtin,61.277,3.24816892081744
751731,AS14.12,2014-04-01 18:00:49.061,appCat.builtin,23.607,4.071525029014568
752071,AS14.12,2014-04-01 21:18:23.813,appCat.builtin,31.373,5.36791764828282
752331,AS14.12,2014-04-01 22:15:14.506,appCat.builtin,30.106,16.327026944918046
752971,AS14.12,2014-04-02 01:53:18.246,appCat.builtin,23.302,4.5916718308808315
753121,AS14.12,2014-04-02 10:47:41.181,appCat.builtin,23.1,6.172454830243803
754661,AS14.12,2014-04-02 17:09:45.302,appCat.builtin,23.108,10.02047020634658
754941,AS14.12,2014-04-02 18:26:59.803,appCat.builtin,26.233,4.832454285931443
755751,AS14.12,2014-04-03 00:16:08.628,appCat.builtin,19.653,8.052534758430951
756161,AS14.12,2014-04-03 00:43:01.499,appCat.builtin,38.63,15.21655559101002
756311,AS14.12,2014-04-03 01:15:01.476,appCat.builtin,77.278,4.807707042977226
756561,AS14.12,2014-04-03 08:55:17.788,appCat.builtin,283.836,113.74727822875016
756791,AS14.12,2014-04-03 10:18:21.203,appCat.builtin,22.074,5.254601801457825
758111,AS14.12,2014-04-03 14:31:03.621,appCat.builtin,21.095,5.088557601991146
759221,AS14.12,2014-04-03 18:00:19.753,appCat.builtin,18.087,10.12663512832171
759441,AS14.12,2014-04-03 18:24:09.566,appCat.builtin,544.481,417.4744937956812
760011,AS14.12,2014-04-04 00:20:16.000,appCat.builtin,17.312,5.796337015582985
760321,AS14.12,2014-04-04 13:57:31.946,appCat.builtin,51.075,10.390949384311757
761221,AS14.12,2014-04-04 16:34:13.987,appCat.builtin,18.238,5.797090813260829
761331,AS14.12,2014-04-04 16:41:55.796,appCat.builtin,45.54,5.307768657750682
761611,AS14.12,2014-04-04 17:04:23.180,appCat.builtin,34.116,9.842422600994084
761981,AS14.12,2014-04-04 17:27:58.647,appCat.builtin,24.43,9.687487804369713
762871,AS14.12,2014-04-04 23:00:57.368,appCat.builtin,30.953,9.434504321928905
763111,AS14.12,2014-04-04 23:28:49.183,appCat.builtin,18.382,6.311193725016431
763161,AS14.12,2014-04-04 23:35:33.168,appCat.builtin,50.23,7.556531840316122
763491,AS14.12,2014-04-05 00:29:54.119,appCat.builtin,216.715,33.24624275006664
763511,AS14.12,2014-04-05 00:33:40.405,appCat.builtin,374.651,5.202816305976767
763791,AS14.12,2014-04-05 01:49:17.828,appCat.builtin,66.551,39.93911479876729
764171,AS14.12,2014-04-05 11:20:05.007,appCat.builtin,19.08,11.323912860048477
764981,AS14.12,2014-04-05 13:39:40.619,appCat.builtin,209.69,70.05804258761948
765261,AS14.12,2014-04-05 16:15:54.967,appCat.builtin,18.052,4.292555206050805
766051,AS14.12,2014-04-06 16:25:57.266,appCat.builtin,22.24,5.364050592027142
